rowValue,value
ChaterTitle_1,"蚂アリ與蚱蜢"
ChaterTitle_2,"兔子與烏龜"
ChaterTitle_3,"金斧頭與銀斧頭"
ChaterTitle_4,"三隻小豬"
ChaterTitle_5,"皮諾丘"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_vn,"Tiếng Việt"
Option_zhTw,"繁體中文"
Option_es,"Español"
Option_th,"ไทย"
Option_id,"Bahasa Indonesia"
Option_Language,"語言"
Option,"設定"
Option_BGM,"背景音樂"
Option_FXSound,"音效"
Option_Vibration,"震動"
TouchNotice,"點擊自動販賣機，喵！"
Option_On,"開啟"
Option_Off,"關閉"
BookShelf,"書架"
RemoveAd,"移除廣告"
RemoveAdDesc,"跳過所有廣告，<br>將觸控次數提高至10次。"
RemoveAdPurchased,"已經買了喵！"
MainThema,"主題"
RestorePurchase,"恢復購買"
EndNotice,"關卡通過"
StageClear,"下一步"
GameOver,"遊戲結束"
TouchToCollect,"正確次數：{0}"
TouchToWrong,"錯誤次數：{0}"
UseHint,"提示使用次數：{0}"
HintGetAD,"提示，喵？"
ChapterUnlockText,"完成第{0}章"
ChangeTheme,"更改"
NowTheme,"目前主題"
SelectTheme,"選擇"
Purchase,"購買"
WatchAd,"觀看廣告"
LookBookContents,"聯繫我們"
RetryStage,"再試一次"
GoBookShelf,"到書架"
PlusTouchCount,"點擊 {0} 次"
HintProduct,"提示 {0} 個"
ComingSoon,"Coming Soon"
Episode_1_1,"秋天，各種水果結出果實，所有的螞蟻都在努力準備過冬。<br>但是蚱蜢只是忙着笑和吃這樣的螞蟻。"
Episode_1_2,"冬天終於來了，可憐的蚱蜢，<br>他沒有準備好生活，<br>只是因爲寒冷和飢餓而顫抖。"
Episode_1_3,"沒有食物或房子，<br>蚱蜢在溫暖的溫暖和氣味之後到達了螞蟻的家。 <br>丁洞! 這是誰？ <br> 走出家門，非常驚訝。"
Episode_1_4,"螞蟻因可憐的蚱蜢顫抖的樣子而變得可憐。 <br>於是決定給他們以前收集的食物。"
Episode_1_5,"哦，我的天哪！<br>那隻大貓躲在螞蟻的房子裏，把所有的食物都吃光了！ <br>我們現在該怎麼辦？"
Episode_2_1,"一天，<br>一隻無聊的野兔來到森林裏的一個池塘裏，<br>一隻蝸牛正在孵化。<br>建議跑一場比賽。"
Episode_2_2,"一聽到野兔和烏龜在賽跑的消息.森林裏所有的動物朋友都出來觀看。 <br> <br>野兔肯定不會贏嗎？"
Episode_2_3,"但這是相當明顯嗎?在比賽中領先的野兔認爲即使睡午覺也能獲勝。<br>但是烏龜開始領先於睡午覺的兔子。"
Episode_2_4,"於是烏龜越過了終點線。但是…嗯？我們都知道野兔在睡午覺，<br>那麼這種情況是怎麼發生的呢？"
Episode_2_5,"事實上,獲勝者是一隻假裝野兔的貓！ 真兔急急忙忙趕來！<br>那麼，誰贏了這場比賽？"
Episode_3_1,"一個陽光明媚的日子，<br>一個真誠的樵夫走進茂密的森林去工作。"
Episode_3_2,"哦，不！他的手滑嗎？ <br>伐木工人不小心錯過了斧頭，<br>把它扔進了森林湖裏！"
Episode_3_3,"我不能沒有斧頭。 <br>一個拿着金銀斧頭的山衛士出現在一個樵夫面前，<br>走進湖裏問道。<br> 這是你的斧頭，還是你的斧頭？"
Episode_3_4,"我的斧頭既不是金也不是銀，先生！ <br>我的是一把老鐵斧! 衛兵問樵夫，如果他們兩個都不是，請稍等片刻。<br> 然後消失在湖裏。"
Episode_3_5,"但是沒有人出現，不管等了多久。<br> 充滿好奇心，樵夫看着湖底。 <br>山上的守護者其實是一隻貪婪的貓。<br> 他是多麼壞的貓!"
Episode_4_1,""
Episode_4_2,""
Episode_4_3,""
Episode_4_4,""
Episode_4_5,""
Episode_5_1,""
Episode_5_2,""
Episode_5_3,""
Episode_5_4,""
Episode_5_5,""
